place,child_lat,child_lon,current_name,type,parent_node,parent_lat,parent_lon,is_single,creation_date,comment,oblast,
Корсунь(-Шевченківський) Черкаської обл.,49.4261119,31.2618527,,okruga,Київ,50.4501,30.5234,FALSE,1941-09-01 00:00:00,,Київська,
Богуслав,49.5405738,30.8772055,,raion,Корсунь,50.4501,30.5234,FALSE,1941-09-01 00:00:00,Спершу входив до складу Корсунської округи. Від жовтня 1943 р. - у складі БЦ округи.,Київська,
Лисянка Черкаської обл.,49.2626871,30.830724,,raion,Корсунь,49.4300146,31.3117628,FALSE,1941-09-01 00:00:00,"У жовтні 1943 р. Богуславський, Лисянський і Миронівський р-ни підпорядкували БЦ окрузі.",Київська,
Шпола Черкаської обл.,48.9969392,31.4022422,,raion,Корсунь,49.4300146,31.3117628,FALSE,1941-09-01 00:00:00,,Київська,
Миронівка Київської обл.,49.665033,30.9894691,,raion,Корсунь,49.4300146,31.3117628,FALSE,1941-09-01 00:00:00,,Київська,
Канів Черкаської обл.,49.751033,31.4697,,raion,Корсунь,49.4300146,31.3117628,FALSE,1941-09-01 00:00:00,,Київська,
Звенигородка Черкаської обл.,49.0762064,30.9699903,,"okruga, raion",Київ,50.4501,30.5234,FALSE,1941-09-01 00:00:00,,Київська,
Кам'янка Черкаської обл.,49.0306474,32.1150933,,raion,Звенигородка,49.0762064,30.9699903,FALSE,1941-09-01 00:00:00,,Київська,
Жашків Черкаської обл.,49.2462205,30.10178999999999,,raion,Звенигородка,49.0762064,30.9699903,FALSE,1941-09-01 00:00:00,,Київська,
Сміла,49.227717,31.8522329,,raion,Звенигородка,49.0762064,30.9699903,FALSE,1941-09-01 00:00:00,,Київська,
Суми,50.9077,34.7981,,oblast,Київ,50.4501,30.5234,FALSE,1942-01-01 00:00:00,,Сумська,
Краснопілля,50.7671084,35.26766600000001,,"okruga, raion",Суми,50.9077,34.7981,FALSE,1942-01-01 00:00:00,,Сумська,
"Білопілля, Сумська область",51.16621413394828,34.31327285439567,,raion,Краснопілля,50.76702485303366 ,35.26254680839656,,1942-01-01 00:00:00,,Сумська,
Миропілля,51.025581776099656,35.26128431808294,,raion,Краснопілля,50.76702485303366 ,35.26254680839656,,1942-01-01 00:00:00,,Сумська,
Улянівка,50.97298927521446 ,34.296396932586354,,raion,Краснопілля,50.76702485303366 ,35.26254680839656,,1942-01-01 00:00:00,,Сумська,
м. Ворожба,51.16503495814101 ,34.23404399696106,,raion,Краснопілля,50.76702485303366 ,35.26254680839656,,1942-01-01 00:00:00,,Сумська,
Ромни,50.7415087,33.4809526,,"okruga, raion",Суми,50.9077,34.7981,FALSE,1942-01-01 00:00:00,,Сумська,
Лебедин,50.5837638,34.4904643,,raion,Краснопілля,50.9077,34.7981,FALSE,1942-03-01 00:00:00,,Сумська,
Конотоп,51.2409432,33.2050521,,"okruga, raion",Суми,50.9077,34.7981,FALSE,1942-03-01 00:00:00,,Сумська,
Кролевець,51.5489435,33.3860497,,raion,Конотоп,51.2409432,33.2050521,FALSE,1942-03-01 00:00:00,,Сумська,
Дубов'язівка,51.1296375,33.3778584,,raion,Конотоп,51.2409432,33.2050521,FALSE,1942-03-01 00:00:00,,Сумська,
Глинськ,50.616691747010215 ,33.32346106911308,,raion,Ромни,50.7415087,33.4809526,,1942-01-01 00:00:00,,Сумська,
Талалаївка Чернігівської обл.,        50.8405502663909,33.13698549558325,,raion,Ромни,50.7415087,33.4809526,,1942-01-01 00:00:00,,Сумська,
Недригайлів,50.83106091453391,33.87441106596998,,raion,Ромни,50.7415087,33.4809526,,1942-01-01 00:00:00,,Сумська,
Липова Долина,50.56574392906429 ,33.79201373600005,,raion,Ромни,50.7415087,33.4809526,,1942-01-01 00:00:00,,Сумська,
Кіровоград,48.50793300000001,32.262317,Кропивницький,"oblast, raion",,,,TRUE,1941-08-05 00:00:00,,Кіровоградська,
Кіровоград,48.50793300000001,32.262317,Кропивницький,"oblast, raion",Дніпро,48.464717,35.046183,FALSE,1941-09-03 00:00:00,,Кіровоградська,
Олександрівка,48.9627867,32.2247365,,"okruga, raion",Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Чигирин Черкаської обл.,49.0730544,32.6617808,,raion,Олександрівка,48.96307204460211,32.21997742127657,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Олександрія,48.66327039999999,33.0967875,,"okruga, raion",Кропивницький,48.50793300000001,32.262317,FALSE,1941-09-02 00:00:00,,Кіровоградська,
Онуфріївка,48.90580430000001,33.4527302,,raion,Олександрія,48.66327039999999,33.0967875,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Знам'янка,48.7192002,32.6770961,,raion,Олександрія,48.66327039999999,33.0967875,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Новогеоргіївськ, 49.083820 ,33.084803,"нині не існує, затоплений водосховищем",raion,Олександрія,48.66327039999999,33.0967875,FALSE,1941-08-05 00:00:00,https://uk.wikipedia.org/wiki/Новогеоргіївськ,Кіровоградська,
Єлисаветградка Олександрівського р-ну,48.7974097,32.4076765,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Новоукраїнка,48.3226457,31.5187617,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-12-01 00:00:00,,Кіровоградська,
Велика Виска Маловисківського р-ну,48.56203559999999,31.8499174,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Піщаний Брід Добровеличківського р-ну,48.2869158,31.3182611,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Рівне Новоукраїнського р-ну,48.2508214,31.7534725,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-09-15 00:00:00,,Кіровоградська,
Нова Прага Олександрійського р-ну,48.5582238,32.9001451,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Знам'янка,48.7192002,32.6770961,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
ст. Помічна Добровеличківського р-ну,48.2465578,31.4060472,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Бобринець,48.0581761,32.1610803,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
Голованівськ Кіровоградської обл.,48.3843573,30.4626205,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,до 1954 р. - у складі Одеської обл.,Кіровоградська,
Грушка Кіровоградської обл.,48.3442465,30.2894904,"Благовіщенське, не плутати з іншою Грушкою неподалік",raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,до 1954 р. - у складі Одеської обл.,Кіровоградська,
Новомиргород Кіровоградської обл.,48.7907203,31.6582633,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-12-01 00:00:00,,Кіровоградська,
Івангород Кіровоградської обл.,48.90137499999999,32.2371023,,raion,Кропивницький,48.50793300000001,32.262317,FALSE,1941-08-05 00:00:00,,Кіровоградська,
